census_tract,Measure,health_outcome_value,TotalPopulation,Geolocation,CategoryID,health_outcome_label
51710003000,Cholesterol screening among adults aged >=18 years,87.8,1934,POINT (-76.26823836 36.8775901),PREVENT,CHOLSCREEN
51710005702,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",42.6,2602,POINT (-76.24971851 36.89818847),PREVENT,COREW
51710005000,Cholesterol screening among adults aged >=18 years,85.7,3271,POINT (-76.28278864 36.83259999),PREVENT,CHOLSCREEN
51710003700,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",51.7,2166,POINT (-76.29670837 36.86892066),PREVENT,COREW
51710004900,Cholesterol screening among adults aged >=18 years,85.4,3930,POINT (-76.28974606 36.85014723),PREVENT,CHOLSCREEN
51710004700,Cervical cancer screening among adult women aged 21-65 years,72.5,2768,POINT (-76.26708391 36.84592943),PREVENT,CERVICAL
51710000400,Cervical cancer screening among adult women aged 21-65 years,82.2,3241,POINT (-76.28108443 36.96558599),PREVENT,CERVICAL
51710003501,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",35.4,3419,POINT (-76.27659293 36.86156759),PREVENT,COREW
51710004002,Current lack of health insurance among adults aged 18-64 years,4.7,3097,POINT (-76.30109372 36.85947243),PREVENT,ACCESS2
51710005901,Visits to dentist or dental clinic among adults aged >=18 years,51.7,4678,POINT (-76.23404891 36.89658803),PREVENT,DENTAL
51710006605,Current lack of health insurance among adults aged 18-64 years,8,2672,POINT (-76.20449231 36.91253579),PREVENT,ACCESS2
51710000100,Visits to doctor for routine checkup within the past year among adults aged >=18 years,77.3,2356,POINT (-76.22324269 36.93630231),PREVENT,CHECKUP
51710001500,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",51.7,1995,POINT (-76.28375154 36.91302891),PREVENT,COREW
51710004300,Current lack of health insurance among adults aged 18-64 years,13.8,3499,POINT (-76.26511761 36.85525712),PREVENT,ACCESS2
51710006200,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",44.6,3305,POINT (-76.21691302 36.87205539),PREVENT,COREW
51710000500,Visits to doctor for routine checkup within the past year among adults aged >=18 years,76,3181,POINT (-76.26320561 36.94746492),PREVENT,CHECKUP
51710004300,Cholesterol screening among adults aged >=18 years,83.8,3499,POINT (-76.26511761 36.85525712),PREVENT,CHOLSCREEN
51710001700,Cholesterol screening among adults aged >=18 years,88.2,2246,POINT (-76.28225129 36.90521532),PREVENT,CHOLSCREEN
51710005702,Cholesterol screening among adults aged >=18 years,88.6,2602,POINT (-76.24971851 36.89818847),PREVENT,CHOLSCREEN
51710001200,Cholesterol screening among adults aged >=18 years,86.4,3490,POINT (-76.3044108 36.91089776),PREVENT,CHOLSCREEN
51710000600,Visits to doctor for routine checkup within the past year among adults aged >=18 years,77.1,4327,POINT (-76.253423 36.9404275),PREVENT,CHECKUP
51710000901,Visits to doctor for routine checkup within the past year among adults aged >=18 years,70.9,5472,POINT (-76.29947547 36.92486123),PREVENT,CHECKUP
51710004200,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",28,1744,POINT (-76.27705907 36.8525619),PREVENT,COREW
51710002800,Cholesterol screening among adults aged >=18 years,87.7,4151,POINT (-76.28510779 36.88518571),PREVENT,CHOLSCREEN
51710003501,Cholesterol screening among adults aged >=18 years,82.6,3419,POINT (-76.27659293 36.86156759),PREVENT,CHOLSCREEN
51710002300,Cholesterol screening among adults aged >=18 years,88.4,2028,POINT (-76.2984604 36.897845),PREVENT,CHOLSCREEN
51710000400,Visits to doctor for routine checkup within the past year among adults aged >=18 years,76.1,3241,POINT (-76.28108443 36.96558599),PREVENT,CHECKUP
51710004300,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",37.1,3499,POINT (-76.26511761 36.85525712),PREVENT,COREW
51710004900,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",53.4,3930,POINT (-76.28974606 36.85014723),PREVENT,COREW
51710000202,Cholesterol screening among adults aged >=18 years,85.9,3869,POINT (-76.23904879 36.93745451),PREVENT,CHOLSCREEN
51710002600,Current lack of health insurance among adults aged 18-64 years,10.4,3835,POINT (-76.29714751 36.8858584),PREVENT,ACCESS2
51710000500,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",44,3181,POINT (-76.26320561 36.94746492),PREVENT,COREM
51710005601,Current lack of health insurance among adults aged 18-64 years,8.1,3996,POINT (-76.237204 36.92869688),PREVENT,ACCESS2
51710003600,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",53,1357,POINT (-76.28748476 36.86569697),PREVENT,COREW
51710003100,Cholesterol screening among adults aged >=18 years,85.9,3116,POINT (-76.25701303 36.88196157),PREVENT,CHOLSCREEN
51710001100,Current lack of health insurance among adults aged 18-64 years,12,2593,POINT (-76.31191959 36.92979392),PREVENT,ACCESS2
51710003400,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",37.8,2068,POINT (-76.26703827 36.86517359),PREVENT,COREW
51710006400,Mammography use among women aged 50-74 years,84.7,3277,POINT (-76.2350247 36.84692188),PREVENT,MAMMOUSE
51710005901,Current lack of health insurance among adults aged 18-64 years,12.9,4678,POINT (-76.23404891 36.89658803),PREVENT,ACCESS2
51710004900,Current lack of health insurance among adults aged 18-64 years,7.3,3930,POINT (-76.28974606 36.85014723),PREVENT,ACCESS2
51710003200,Cholesterol screening among adults aged >=18 years,85.2,2642,POINT (-76.26099194 36.87209972),PREVENT,CHOLSCREEN
51710003700,Current lack of health insurance among adults aged 18-64 years,6,2166,POINT (-76.29670837 36.86892066),PREVENT,ACCESS2
51710006200,Cholesterol screening among adults aged >=18 years,85.6,3305,POINT (-76.21691302 36.87205539),PREVENT,CHOLSCREEN
51710007001,Current lack of health insurance among adults aged 18-64 years,10.5,1555,POINT (-76.21734423 36.86159155),PREVENT,ACCESS2
51710002200,Cholesterol screening among adults aged >=18 years,91.4,1905,POINT (-76.28008644 36.89700155),PREVENT,CHOLSCREEN
51710006501,Visits to dentist or dental clinic among adults aged >=18 years,62.4,2692,POINT (-76.2077331 36.93207317),PREVENT,DENTAL
51710003501,Current lack of health insurance among adults aged 18-64 years,15.2,3419,POINT (-76.27659293 36.86156759),PREVENT,ACCESS2
51710007001,Cholesterol screening among adults aged >=18 years,81.1,1555,POINT (-76.21734423 36.86159155),PREVENT,CHOLSCREEN
51710000300,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",47.8,2985,POINT (-76.25319205 36.95136103),PREVENT,COREM
51710005000,Current lack of health insurance among adults aged 18-64 years,13.6,3271,POINT (-76.28278864 36.83259999),PREVENT,ACCESS2
51710003600,Cholesterol screening among adults aged >=18 years,87,1357,POINT (-76.28748476 36.86569697),PREVENT,CHOLSCREEN
51710005000,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",36.9,3271,POINT (-76.28278864 36.83259999),PREVENT,COREW
51710001500,Current lack of health insurance among adults aged 18-64 years,5.9,1995,POINT (-76.28375154 36.91302891),PREVENT,ACCESS2
51710004100,Mammography use among women aged 50-74 years,85.1,2029,POINT (-76.28300509 36.85689011),PREVENT,MAMMOUSE
51710006604,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",45.8,1892,POINT (-76.1961695 36.92156559),PREVENT,COREW
51710004001,Current lack of health insurance among adults aged 18-64 years,3.6,1037,POINT (-76.29183834 36.85983829),PREVENT,ACCESS2
51710000700,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",47.6,2864,POINT (-76.2537628 36.93309729),PREVENT,COREM
51710003200,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,79,2642,POINT (-76.26099194 36.87209972),PREVENT,BPMED
51710002100,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",48.2,1414,POINT (-76.26825771 36.88921971),PREVENT,COREW
51710003300,Mammography use among women aged 50-74 years,84.8,2651,POINT (-76.2535438 36.86666348),PREVENT,MAMMOUSE
51710002200,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",56.1,1905,POINT (-76.28008644 36.89700155),PREVENT,COREW
51710003600,Mammography use among women aged 50-74 years,83.7,1357,POINT (-76.28748476 36.86569697),PREVENT,MAMMOUSE
51710003800,Current lack of health insurance among adults aged 18-64 years,6.2,22065,POINT (-76.3066606 36.86906456),PREVENT,ACCESS2
51710002400,Current lack of health insurance among adults aged 18-64 years,4.5,3461,POINT (-76.30969082 36.89706478),PREVENT,ACCESS2
51710006200,Mammography use among women aged 50-74 years,81.7,3305,POINT (-76.21691302 36.87205539),PREVENT,MAMMOUSE
51710004002,Mammography use among women aged 50-74 years,83.1,3097,POINT (-76.30109372 36.85947243),PREVENT,MAMMOUSE
51710006800,Visits to dentist or dental clinic among adults aged >=18 years,67.5,1765,POINT (-76.193864 36.86497999),PREVENT,DENTAL
51710004800,Cholesterol screening among adults aged >=18 years,75.2,1402,POINT (-76.28026309 36.84420395),PREVENT,CHOLSCREEN
51710007002,Current lack of health insurance among adults aged 18-64 years,7,3559,POINT (-76.21770244 36.84569074),PREVENT,ACCESS2
51710000600,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,72.8,4327,POINT (-76.253423 36.9404275),PREVENT,BPMED
51710006601,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",76.5,723,POINT (-76.22959011 36.92290144),PREVENT,COLON_SCREEN
51710004300,Mammography use among women aged 50-74 years,85.2,3499,POINT (-76.26511761 36.85525712),PREVENT,MAMMOUSE
51710002400,Mammography use among women aged 50-74 years,82.4,3461,POINT (-76.30969082 36.89706478),PREVENT,MAMMOUSE
51710000400,Current lack of health insurance among adults aged 18-64 years,8.7,3241,POINT (-76.28108443 36.96558599),PREVENT,ACCESS2
51710001300,Cholesterol screening among adults aged >=18 years,80.6,2378,POINT (-76.28029637 36.91780115),PREVENT,CHOLSCREEN
51710005903,Cervical cancer screening among adult women aged 21-65 years,80.2,1623,POINT (-76.22241485 36.87803636),PREVENT,CERVICAL
51710006400,Cholesterol screening among adults aged >=18 years,87.8,3277,POINT (-76.2350247 36.84692188),PREVENT,CHOLSCREEN
51710002700,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",71.9,2900,POINT (-76.29499413 36.87621432),PREVENT,COLON_SCREEN
51710000902,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,38.1,3541,POINT (-76.30202349 36.93784894),PREVENT,BPMED
51710004700,Current lack of health insurance among adults aged 18-64 years,7.9,2768,POINT (-76.26708391 36.84592943),PREVENT,ACCESS2
51710005902,Mammography use among women aged 50-74 years,81.1,3907,POINT (-76.2276269 36.88619237),PREVENT,MAMMOUSE
51710001100,Visits to dentist or dental clinic among adults aged >=18 years,54.7,2593,POINT (-76.31191959 36.92979392),PREVENT,DENTAL
51710006200,Current lack of health insurance among adults aged 18-64 years,9.5,3305,POINT (-76.21691302 36.87205539),PREVENT,ACCESS2
51710002200,Current lack of health insurance among adults aged 18-64 years,4,1905,POINT (-76.28008644 36.89700155),PREVENT,ACCESS2
51710004800,Visits to dentist or dental clinic among adults aged >=18 years,30.1,1402,POINT (-76.28026309 36.84420395),PREVENT,DENTAL
51710005100,Cholesterol screening among adults aged >=18 years,82.6,4522,POINT (-76.25961471 36.8317244),PREVENT,CHOLSCREEN
51710003400,Current lack of health insurance among adults aged 18-64 years,13.5,2068,POINT (-76.26703827 36.86517359),PREVENT,ACCESS2
51710001600,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",45.4,1678,POINT (-76.29253882 36.91607892),PREVENT,COREW
51710004002,Visits to dentist or dental clinic among adults aged >=18 years,74.5,3097,POINT (-76.30109372 36.85947243),PREVENT,DENTAL
51710005702,Mammography use among women aged 50-74 years,85.1,2602,POINT (-76.24971851 36.89818847),PREVENT,MAMMOUSE
51710002000,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",77.5,1320,POINT (-76.26147458 36.89686213),PREVENT,COLON_SCREEN
51710005902,Current lack of health insurance among adults aged 18-64 years,10,3907,POINT (-76.2276269 36.88619237),PREVENT,ACCESS2
51710004500,Current lack of health insurance among adults aged 18-64 years,9.6,1374,POINT (-76.25055325 36.84960713),PREVENT,ACCESS2
51710002300,Mammography use among women aged 50-74 years,83.2,2028,POINT (-76.2984604 36.897845),PREVENT,MAMMOUSE
51710005601,Visits to dentist or dental clinic among adults aged >=18 years,64.5,3996,POINT (-76.237204 36.92869688),PREVENT,DENTAL
51710001200,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",49.8,3490,POINT (-76.3044108 36.91089776),PREVENT,COREW
51710001400,Current lack of health insurance among adults aged 18-64 years,8.8,2470,POINT (-76.2672296 36.90800397),PREVENT,ACCESS2
51710001500,Cervical cancer screening among adult women aged 21-65 years,83,1995,POINT (-76.28375154 36.91302891),PREVENT,CERVICAL
51710006902,Mammography use among women aged 50-74 years,80.7,2734,POINT (-76.1995336 36.8386001),PREVENT,MAMMOUSE
51710003700,Mammography use among women aged 50-74 years,82.8,2166,POINT (-76.29670837 36.86892066),PREVENT,MAMMOUSE
51710004500,Cervical cancer screening among adult women aged 21-65 years,85.8,1374,POINT (-76.25055325 36.84960713),PREVENT,CERVICAL
51710006605,Cholesterol screening among adults aged >=18 years,86.2,2672,POINT (-76.20449231 36.91253579),PREVENT,CHOLSCREEN
51710003000,Current lack of health insurance among adults aged 18-64 years,7.4,1934,POINT (-76.26823836 36.8775901),PREVENT,ACCESS2
51710003000,Mammography use among women aged 50-74 years,82.2,1934,POINT (-76.26823836 36.8775901),PREVENT,MAMMOUSE
51710005500,Current lack of health insurance among adults aged 18-64 years,12.4,2855,POINT (-76.26143124 36.92347901),PREVENT,ACCESS2
51710003000,Cervical cancer screening among adult women aged 21-65 years,85.1,1934,POINT (-76.26823836 36.8775901),PREVENT,CERVICAL
51710006000,Cholesterol screening among adults aged >=18 years,84.9,3578,POINT (-76.24314779 36.88692542),PREVENT,CHOLSCREEN
51710006603,Visits to dentist or dental clinic among adults aged >=18 years,64.1,2400,POINT (-76.21016485 36.92172042),PREVENT,DENTAL
51710004200,Current lack of health insurance among adults aged 18-64 years,21.7,1744,POINT (-76.27705907 36.8525619),PREVENT,ACCESS2
51710005100,Current lack of health insurance among adults aged 18-64 years,14.5,4522,POINT (-76.25961471 36.8317244),PREVENT,ACCESS2
51710004400,Mammography use among women aged 50-74 years,86.1,1460,POINT (-76.25393447 36.85594681),PREVENT,MAMMOUSE
51710002700,Visits to dentist or dental clinic among adults aged >=18 years,46.8,2900,POINT (-76.29499413 36.87621432),PREVENT,DENTAL
51710005901,Cholesterol screening among adults aged >=18 years,82.1,4678,POINT (-76.23404891 36.89658803),PREVENT,CHOLSCREEN
51710002600,Visits to dentist or dental clinic among adults aged >=18 years,53.1,3835,POINT (-76.29714751 36.8858584),PREVENT,DENTAL
51710003300,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",73.9,2651,POINT (-76.2535438 36.86666348),PREVENT,COLON_SCREEN
51710004400,Cholesterol screening among adults aged >=18 years,87,1460,POINT (-76.25393447 36.85594681),PREVENT,CHOLSCREEN
51710006607,Cervical cancer screening among adult women aged 21-65 years,82.6,3030,POINT (-76.21658621 36.89678113),PREVENT,CERVICAL
51710006501,Current lack of health insurance among adults aged 18-64 years,9.6,2692,POINT (-76.2077331 36.93207317),PREVENT,ACCESS2
51710003700,Cholesterol screening among adults aged >=18 years,82.7,2166,POINT (-76.29670837 36.86892066),PREVENT,CHOLSCREEN
51710004001,Visits to dentist or dental clinic among adults aged >=18 years,78.9,1037,POINT (-76.29183834 36.85983829),PREVENT,DENTAL
51710005702,Cervical cancer screening among adult women aged 21-65 years,84,2602,POINT (-76.24971851 36.89818847),PREVENT,CERVICAL
51710006601,Cervical cancer screening among adult women aged 21-65 years,85.8,723,POINT (-76.22959011 36.92290144),PREVENT,CERVICAL
51710006603,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",74.8,2400,POINT (-76.21016485 36.92172042),PREVENT,COLON_SCREEN
51710004800,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",23.5,1402,POINT (-76.28026309 36.84420395),PREVENT,COREM
51710006502,Cervical cancer screening among adult women aged 21-65 years,85,2579,POINT (-76.18802269 36.92719523),PREVENT,CERVICAL
51710006601,Mammography use among women aged 50-74 years,81.1,723,POINT (-76.22959011 36.92290144),PREVENT,MAMMOUSE
51710006902,Current lack of health insurance among adults aged 18-64 years,8.2,2734,POINT (-76.1995336 36.8386001),PREVENT,ACCESS2
51710006502,Visits to dentist or dental clinic among adults aged >=18 years,69,2579,POINT (-76.18802269 36.92719523),PREVENT,DENTAL
51710005902,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",72.4,3907,POINT (-76.2276269 36.88619237),PREVENT,COLON_SCREEN
51710005601,Cervical cancer screening among adult women aged 21-65 years,83.4,3996,POINT (-76.237204 36.92869688),PREVENT,CERVICAL
51710000700,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,76.4,2864,POINT (-76.2537628 36.93309729),PREVENT,BPMED
51710003400,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,81.6,2068,POINT (-76.26703827 36.86517359),PREVENT,BPMED
51710005602,Mammography use among women aged 50-74 years,80.4,3397,POINT (-76.24369829 36.91958478),PREVENT,MAMMOUSE
51710007001,Mammography use among women aged 50-74 years,84.7,1555,POINT (-76.21734423 36.86159155),PREVENT,MAMMOUSE
51710005500,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",69.8,2855,POINT (-76.26143124 36.92347901),PREVENT,COLON_SCREEN
51710002500,Visits to dentist or dental clinic among adults aged >=18 years,55.3,4748,POINT (-76.30738283 36.88245572),PREVENT,DENTAL
51710004700,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,43.9,2768,POINT (-76.26708391 36.84592943),PREVENT,BPMED
51710006601,Visits to dentist or dental clinic among adults aged >=18 years,70.6,723,POINT (-76.22959011 36.92290144),PREVENT,DENTAL
51710006502,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",75.8,2579,POINT (-76.18802269 36.92719523),PREVENT,COLON_SCREEN
51710006502,Current lack of health insurance among adults aged 18-64 years,6.7,2579,POINT (-76.18802269 36.92719523),PREVENT,ACCESS2
51710001400,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",76.3,2470,POINT (-76.2672296 36.90800397),PREVENT,COLON_SCREEN
51710004400,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",40,1460,POINT (-76.25393447 36.85594681),PREVENT,COREW
51710003400,Cervical cancer screening among adult women aged 21-65 years,83,2068,POINT (-76.26703827 36.86517359),PREVENT,CERVICAL
51710002400,Cholesterol screening among adults aged >=18 years,87.5,3461,POINT (-76.30969082 36.89706478),PREVENT,CHOLSCREEN
51710006100,Visits to doctor for routine checkup within the past year among adults aged >=18 years,79,7740,POINT (-76.24276354 36.87392642),PREVENT,CHECKUP
51710004001,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",81.9,1037,POINT (-76.29183834 36.85983829),PREVENT,COLON_SCREEN
51710003300,Visits to doctor for routine checkup within the past year among adults aged >=18 years,82.6,2651,POINT (-76.2535438 36.86666348),PREVENT,CHECKUP
51710001700,Visits to dentist or dental clinic among adults aged >=18 years,69.5,2246,POINT (-76.28225129 36.90521532),PREVENT,DENTAL
51710005800,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",42.2,4591,POINT (-76.23866298 36.90781786),PREVENT,COREW
51710004002,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",79.8,3097,POINT (-76.30109372 36.85947243),PREVENT,COLON_SCREEN
51710002300,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",56.4,2028,POINT (-76.2984604 36.897845),PREVENT,COREW
51710004500,Visits to dentist or dental clinic among adults aged >=18 years,57.5,1374,POINT (-76.25055325 36.84960713),PREVENT,DENTAL
51710006800,Mammography use among women aged 50-74 years,81,1765,POINT (-76.193864 36.86497999),PREVENT,MAMMOUSE
51710006000,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",40.5,3578,POINT (-76.24314779 36.88692542),PREVENT,COREM
51710004100,Cervical cancer screening among adult women aged 21-65 years,74,2029,POINT (-76.28300509 36.85689011),PREVENT,CERVICAL
51710005701,Visits to dentist or dental clinic among adults aged >=18 years,53,4663,POINT (-76.2553866 36.91099182),PREVENT,DENTAL
51710004200,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",67.6,1744,POINT (-76.27705907 36.8525619),PREVENT,COLON_SCREEN
51710004600,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",71.9,2193,POINT (-76.25252421 36.8422434),PREVENT,COLON_SCREEN
51710004100,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",64.1,2029,POINT (-76.28300509 36.85689011),PREVENT,COLON_SCREEN
51710006000,Mammography use among women aged 50-74 years,80.7,3578,POINT (-76.24314779 36.88692542),PREVENT,MAMMOUSE
51710002300,Current lack of health insurance among adults aged 18-64 years,3.9,2028,POINT (-76.2984604 36.897845),PREVENT,ACCESS2
51710004300,Cervical cancer screening among adult women aged 21-65 years,81.6,3499,POINT (-76.26511761 36.85525712),PREVENT,CERVICAL
51710006603,Mammography use among women aged 50-74 years,79.2,2400,POINT (-76.21016485 36.92172042),PREVENT,MAMMOUSE
51710005601,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",74,3996,POINT (-76.237204 36.92869688),PREVENT,COLON_SCREEN
51710006607,Current lack of health insurance among adults aged 18-64 years,7.6,3030,POINT (-76.21658621 36.89678113),PREVENT,ACCESS2
51710005601,Mammography use among women aged 50-74 years,80.3,3996,POINT (-76.237204 36.92869688),PREVENT,MAMMOUSE
51710001600,Visits to doctor for routine checkup within the past year among adults aged >=18 years,81.2,1678,POINT (-76.29253882 36.91607892),PREVENT,CHECKUP
51710002800,Visits to dentist or dental clinic among adults aged >=18 years,70.7,4151,POINT (-76.28510779 36.88518571),PREVENT,DENTAL
51710003800,Visits to doctor for routine checkup within the past year among adults aged >=18 years,70.1,22065,POINT (-76.3066606 36.86906456),PREVENT,CHECKUP
51710006902,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",45.1,2734,POINT (-76.1995336 36.8386001),PREVENT,COREM
51710003200,Visits to dentist or dental clinic among adults aged >=18 years,55.7,2642,POINT (-76.26099194 36.87209972),PREVENT,DENTAL
51710003000,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",44.5,1934,POINT (-76.26823836 36.8775901),PREVENT,COREM
51710006800,Visits to doctor for routine checkup within the past year among adults aged >=18 years,79,1765,POINT (-76.193864 36.86497999),PREVENT,CHECKUP
51710006602,Visits to dentist or dental clinic among adults aged >=18 years,67.8,2441,POINT (-76.22082966 36.92333687),PREVENT,DENTAL
51710002100,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",45.4,1414,POINT (-76.26825771 36.88921971),PREVENT,COREM
51710002300,Visits to doctor for routine checkup within the past year among adults aged >=18 years,77.7,2028,POINT (-76.2984604 36.897845),PREVENT,CHECKUP
51710006605,Visits to dentist or dental clinic among adults aged >=18 years,66.2,2672,POINT (-76.20449231 36.91253579),PREVENT,DENTAL
51710003700,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",48,2166,POINT (-76.29670837 36.86892066),PREVENT,COREM
51710005903,Current lack of health insurance among adults aged 18-64 years,11.6,1623,POINT (-76.22241485 36.87803636),PREVENT,ACCESS2
